,idio_capm_12m,idio_capm_1m,idio_capm_1y,idio_capm_2y,idio_capm_3m,idio_capm_3y,idio_capm_5y,idio_capm_6m,idio_ff_12m,idio_ff_1m,idio_ff_1y,idio_ff_2y
55,1.7610516234379754,8.289299355217821,5.421413643728116,4.094142954392675,3.855464442658669,3.483329027943084,3.553862363717564,2.4158036188021805,1.741008464674898,7.1674849693652645,4.281179479950172,3.9480081218753686
56,2.4827471306329665,10.665564610141695,10.97450754319212,8.799337271210526,4.878169343274855,7.157617912482678,5.704993238359847,3.5430800802189566,2.4820474675411566,9.991396299056136,5.850454828088955,7.124788249528762
58,2.5346625418771302,6.705001681437912,5.584309609660803,5.773029193743336,4.839658371115631,,5.690969457844759,3.45222285396758,2.4253182102928332,6.448584868661068,5.3865779330172,5.721767055728325
59,1.8755873576466169,4.282521495714149,7.1790959783308335,4.788793689872537,4.496388433425137,4.694644040173329,3.814779503521064,3.2275388912696967,1.7972732220677727,4.074792658210204,6.203678695618763,4.598870584639385
60,1.4655004324653391,4.744952863848797,4.6976353810282845,3.817508491531529,3.9833416129920693,2.997176532746699,3.1383527361449883,2.1369219249210643,1.3558163054549448,3.7198509601547913,3.667819836547704,2.9518896558576047
61,2.334348062473413,8.348722763040415,10.982539091577133,6.274197086082963,3.766270905789116,4.749088297686856,3.9748555403517187,3.4172431435577946,2.3254987061628927,5.8638124178133895,10.701520091254768,6.21668473846153
62,3.4441130593349536,12.710865099368565,16.841716057286984,9.849806518809627,7.073387580410751,7.022966450473271,4.616820759405097,4.794150765185778,3.340769938913388,12.631700840994053,16.343784419681338,8.974608160337512
63,2.2421965038055762,5.020014883443771,8.265104445294341,7.272494429287088,3.6249815050521934,5.527982625369255,3.979474982011405,2.652898037640881,2.1955844988600206,4.563057187025726,7.1568632503179765,7.0262023052458655
65,2.6979441441687797,8.91527317679418,9.715571966789343,7.374581475427494,4.6283778912007385,5.266829037039324,3.9466521686291403,3.680809670380409,2.6361571737610308,8.283067213917459,7.8297975953735905,6.234749289589836
66,2.39964392572767,3.365095957078544,9.197324559001991,5.33601931879396,3.387297239681518,3.7756442978322453,4.7128510498774245,2.7552432956169874,2.290980900388333,3.0084952035983283,8.163018292399734,4.887133387067875
68,2.384516662719159,8.342317703898448,7.7634307700388705,8.592409598906567,5.426142334839868,,6.147617988799231,3.4970783194513544,2.292499723631144,8.073577811414497,6.5326272497918305,8.485586755274234
69,1.7388879870146674,6.777497507706179,7.005575430492492,5.506501439359776,3.6141867548257594,4.164072447249193,3.6320069502263217,2.4116353893103555,1.6009268722413448,6.017901575920389,6.762305279923009,5.000301648958575
70,2.543769725078486,8.4743199660917,8.642514741720628,5.286513181862738,4.612570503319217,4.5246043797971,3.376126318389972,3.2610987855936644,2.4402298761836376,8.39082621906161,8.412597692408072,4.893976349691753
78,2.620855103102109,13.740177289342766,5.370438060114906,5.731360469083822,5.889779618591772,4.216908189173078,4.981269111423117,3.74026732230253,2.6138959153344383,13.668663647990947,5.171891711700573,5.650595058311994
88,2.8767138839404685,8.720147321740209,11.250781820708482,6.398029092691476,4.4978057966108365,4.765834234761493,3.2025026858776333,4.5349836380620205,2.803522046510144,6.436909090972866,10.263055432029796,6.009953183555153
