code,rev
2168,-0.5682
2169,-4.3956
2170,11.1374
2171,-4.8752
2172,11.37
2173,-7.2175
2174,-9.5938
2176,-12.1429
2177,-14.111700000000004
2178,-16.2113
2179,-2.1699
2180,7.4658
2181,-0.8526
2182,6.5326999999999975
2183,-13.338
2184,-13.9871
2185,-3.535
2186,5.513
2187,3.4091000000000005
2188,6.118200000000001
2189,-9.9788
2190,8.3005
2191,-5.4357000000000015
2192,-21.0014
2193,10.908
2194,18.779300000000006
2195,-4.149700000000001
2196,-16.759300000000003
2197,-2.1332
2198,34.4294
2200,10.7105
2201,-7.0134
2202,2.842
2203,-2.8314
2204,4.9505
2205,-0.5034000000000001
2206,-2.16
2208,-7.3635
2209,-23.2811
2210,-21.3864
2211,6.914
2213,16.3379
2214,-1.1354000000000002
2215,6.769800000000001
2216,5.1163
2217,-9.8301
2218,5.1961
2219,13.5747
2220,-1.6949000000000003
2221,0.2461
2222,13.8217
2223,5.6116
2224,-13.2181
2225,0.3155
2226,-7.9332
2227,-6.9155
2228,-5.7554
2229,-3.5486000000000004
2230,-11.7199
2231,-9.7025
2232,-9.1384
2233,-0.8717
2234,12.7168
2235,10.3789
2236,13.5878
2237,3.6491
2238,0.6910999999999999
2239,-0.6207
2240,-12.7246
2241,-11.052999999999999
2242,20.407
2243,1.4118
2244,-1.3433000000000002
2245,-15.035199999999998
2247,-7.9354
2248,17.5722
2249,-15.5473
2250,-3.7709
2251,2.9298
2252,0.1062
2253,-9.2637
2254,1.6763999999999997
2255,1.9744
2256,-17.6829
2258,-0.213
2259,-1.0349
2260,-5.2023
2261,-3.2538
2262,-5.459099999999999
2263,-13.378699999999998
2264,0.4678
2265,-5.322699999999998
2267,0.7619
2268,-13.3744
2269,-2.9545
2270,5.5419
2271,21.184
2272,-28.2609
2273,-17.5777
2274,-8.490599999999999
2275,1.5168
2276,-4.947
2277,8.5069
2278,13.358499999999998
2279,-6.2218
2281,-3.2710000000000004
2282,-7.9460000000000015
2284,-4.9764
2285,7.5738
2286,-21.8959
2287,-4.3295
2288,4.4444
2290,-14.4808
2292,-4.3740000000000006
2293,-1.8978
2294,5.3676
2295,1.1465
2296,-6.060599999999999
2298,-3.1514999999999995
2299,13.7452
2300,0.3494
2301,-0.8293
2302,5.5402
2303,7.0301
2304,-0.5700999999999999
2305,4.0925
2307,-0.5095999999999999
2308,4.0169999999999995
2309,-9.2686
2310,22.5334
2311,-3.1706
2312,-16.5435
2313,47.167
2314,16.0684
2315,-6.3592999999999975
2317,7.9232999999999985
2318,-7.432999999999999
2320,-7.2189999999999985
2321,12.3142
2322,-13.9388
2323,-0.384
2324,-0.2747
2325,5.9848
2326,-11.5196
2327,8.5781
2328,-3.9078
2329,-6.671100000000001
2330,-10.7076
2331,-20.0302
2332,13.8393
2333,2.1561
2334,-6.7416
2335,-7.9761
2336,1.6749
2337,-5.0
2338,-15.4923
2339,-12.6645
2340,-14.1391
2341,-15.9313
2342,-0.6897
2343,-11.195899999999998
2344,-1.3333000000000002
2345,3.4765
2346,-9.2523
2347,0.7198
2348,3.653
2349,0.2584
2350,-1.2376
2351,-16.666700000000002
2352,-11.8968
2353,-11.1515
2354,-17.724600000000006
2356,-7.8532
2357,-10.887899999999998
2358,9.7213
2359,5.0302
2360,3.0380000000000003
2361,-6.4433000000000025
2362,-11.968
2363,-5.914
2364,-9.2599
2365,13.6738
2366,-4.6708
2367,-1.3636
2368,-8.4154
2369,5.8667
2370,11.5254
2371,-14.8733
2372,9.61
2374,-6.4234
2375,-3.2743
2376,-6.7365
2377,3.3784
2378,16.7464
2380,-6.7288
2381,-7.2243
2382,-2.847
2383,-4.3818
2384,-10.1712
2385,-1.861
2386,-4.0616
2388,-5.209199999999999
2390,18.0736
2391,5.594400000000001
2392,7.085
2393,-0.5311
2394,1.0596
2395,-11.0213
2396,-5.7360000000000015
2397,-1.5796
2398,-4.2618
2399,-1.4318000000000002
2400,4.5294
2401,-9.651
2402,-3.7338
2403,-2.4149
2404,-1.2674
2405,-1.626
2406,0.4667
2407,-9.0397
2408,2.1858000000000004
2409,11.7251
2410,6.4336
2411,27.563000000000002
2412,-1.6365999999999998
2413,8.594299999999999
2414,-8.7134
2415,20.4567
2416,-12.6888
2417,0.7223
2418,-9.375
2419,3.7625
2420,-3.3333000000000004
2421,3.091
2422,0.584
2423,0.3191
2424,11.8023
2425,1.6818
2426,4.7716
2427,-10.2641
2428,-11.4668
2429,-6.9212
2430,-9.0323
2431,-1.913
2432,-6.560099999999999
2433,1.1976
2434,17.739
2435,3.1128
2436,0.8337000000000001
2437,-5.517200000000001
2438,-7.2636
2439,-16.453699999999998
2440,18.3165
2441,-6.7326
2442,-0.0732
2443,-15.818800000000005
2444,-16.0433
2446,-9.0335
2448,-15.540999999999999
2449,-3.6925
2450,5.0292
2451,-13.0435
2452,-18.802
2453,-5.2934
2454,-5.995
