Stkcd,Mom,R_M12,R_M3,R_M6,R_M9,R_t12,R_t6
2105,-35.84660908,-43.469892372320786,-24.905076786325463,-29.965051847818714,-43.81713793174757,-34.053265193358214,-24.233473923617392
2106,-32.57647821,-42.20705179382933,-28.4299996859448,-42.43436195832467,-42.77198556231245,-28.360148277231346,-31.836306929768075
2107,-13.51998831,-26.319981316529994,-16.651564376758348,-26.78855311413487,-26.67195227721373,-12.962970550312006,-8.38981495311022
2108,-45.19108129,-41.39737236263153,-18.079001520161626,-31.13152899308164,-46.85151942927697,-43.290362797070436,-38.92322977758743
2109,-22.40111328,-29.455550472321523,-20.3911059521114,-17.2714736152897,-35.88306368050935,-38.6497769665201,-8.600681086282213
2110,,,-8.142242262703048,-9.329575126913523,,,-23.43573188748877
2111,-31.08017554,-41.68128510088249,-16.3940045593857,-27.39479579602744,-39.8151972329746,-29.565042121600648,-20.982200702551
2112,,,-34.15838218895533,,,,
2114,-33.09741471,-59.07013566567796,-47.674374340502396,-54.23720189240208,-60.603029507155284,-30.789208618545327,-26.729315699281074
2115,-8.624050655,-20.402684653527736,-2.4412187555051146,-11.386753695257509,-26.19543101137468,-9.553526811861424,-2.983470894954132
2116,-32.54301003,-39.09227427036424,-21.589207401286448,-32.03447104615762,-40.264524268371204,-29.0025973662661,-26.339338015343145
2117,-34.88100367,-41.36522772751865,-3.3460072622533703,-21.940951357505256,-29.77930077759829,-31.643156932100172,-18.50676066652736
2118,22.54753103,4.685125450604222,-19.93282870711768,-4.920193340848156,5.6129210389814554,28.17760969568997,-1.6450949658631917
2119,-1.280718381,-7.3221409772205055,-9.789942024217613,-18.18055567402524,-20.38967087623549,-1.7399604787745266,-22.76872724432543
2120,25.57063394,23.63621832815645,6.099981539188403,15.880307857133458,15.125956580711026,42.68766933951603,35.44506593190591
2123,-10.27946846,-19.105905194644844,-20.766427148391205,-14.106148272365882,-29.72326123805325,-13.171161195113056,-6.981027286750817
2124,9.930796347000001,-24.36596315109692,-23.30322042627784,-21.27522484143986,-30.76211299254055,18.660510816059684,8.924450903418581
2125,-16.06635815,-28.919284595128445,-21.58963916764805,-28.57145715629661,-40.93857706368122,-10.673705596481213,-18.216415244848406
2126,0.610710557,-9.969411154607489,-2.402174791366829,-7.580822403187226,-8.974092363284138,12.08677064579449,7.2186850553839665
2127,34.14337564,17.06383862083294,-7.934171397852852,16.00745298932924,-9.985318748086323,41.64789264371214,39.694095367785
2128,,,-7.399321693151761,-15.673205164875787,-28.839233239412287,,-23.48998034831433
2129,,,-24.219829277614913,-31.6725027346875,,,-5.416212713801017
2130,-16.64078657,-31.939452933794755,-19.994609838823774,-24.02264225435946,-33.389723628890835,-17.41144249892136,-13.687611845143143
2131,-27.35567932,-35.875259962254155,-25.18775426067264,-18.857506223272022,-30.372817987030444,-31.847640890889963,-20.066937721094003
2132,-33.76345231,-35.05374025851849,-18.81716961947836,-44.58718317743114,-44.89051826310555,-33.057370711127064,-42.64435506915566
2133,-15.34285612,-20.507873122424115,0.7748181246546526,-5.089157027997448,-19.783874437207228,-13.468546951406855,-1.4704744989788132
2134,-17.0165761,-14.917095472090015,-11.69717706896728,-14.062471604101322,-24.435721310727896,-52.40809357387478,-14.755973125556187
2135,-21.03889804,-35.94675409259737,-23.03912894138561,-29.452542783465837,-40.66101343412852,-24.101641265845323,-15.611778710473445
2136,-39.78307337,-46.82953768923768,-33.1746063906437,-34.58238743345872,-41.41214265869978,-26.736052526270925,-26.63417069589933
2137,7.717781023,-4.851160537837816,-29.32021671181507,23.462035352155986,1.2911058891023952,3.6055470147203117,38.77843034325765
2138,-8.236276815,-12.027678566261024,-5.3686990896486435,-2.343688421816703,-22.30603506766043,-4.268964007283715,-3.490077927524926
2139,-11.69713963,-19.993105063113987,-24.67877976399442,-27.161864450742375,-30.17227790447917,3.2596871568937087,-15.614695346548144
2140,-32.0442646,-42.199433788165656,-16.35353603062818,-31.61696236055755,-40.39365904636699,-40.30605108849871,-20.88888401173416
2141,,,-34.937942677374146,-47.02917863750478,-41.38259253345289,,-38.56987059850796
2142,16.67430927,11.670031469319884,-14.398392599099418,-8.534634706387067,3.2318308139931635,22.049494696122874,-7.399427457972485
2144,-25.23790692,-33.88025535461486,-15.506867904842482,-20.271315497595555,-31.556447801871318,-23.574525109621728,-14.604497571108356
2145,-36.73923184,-39.21677656612904,-29.472857381315087,-38.30346429058967,-38.814211969057176,-32.16484569648288,-33.913080361807644
2146,-6.078930518,-11.550020657720435,-12.874219735938642,-8.39445602862301,-8.681946385151928,-7.046035770724091,6.1856173942774975
2148,-38.79809768,-45.55656255502471,-31.819126344047607,-35.35218389456699,-51.136990184408255,-35.755873523878215,-33.620894404374816
2149,-15.76172868,-36.705047694257935,-20.568414074463746,-24.783772826422553,-47.960518369624516,-18.955285782321774,-8.555094505298674
2150,-36.59579654,-42.85968801357265,-18.618279630087343,-25.150610871989155,-40.37314983249111,-33.820594555886444,-19.109717415949945
2151,-0.608279913,-7.790325606080817,-17.236317797919778,-19.51096551997944,-10.418510052675511,-1.4575821607097357,-6.965906119994514
2152,-12.27434576,-27.07471633587216,-15.124778406210648,-18.54715168384391,-22.60417610009409,-6.2694369987043475,9.789207094272042
2153,31.45618407,28.00296156702713,8.44235209941051,9.133762180909176,23.703432444501573,45.191383458427325,5.211146445588399
2154,-7.277690487999999,-9.434040518261877,11.258190310582972,-3.4483456382716433,-11.811082891493351,-5.774198239523876,0.5847556635622864
2155,-11.28516587,-28.526539027810887,-23.57533514517306,-29.484447928696078,-32.610766833655354,-6.398043092661265,-6.497708696491655
2156,14.34185689,6.385035753190737,-12.661273555742627,-18.078671831184835,-14.047715133767982,19.140212914895095,-11.348072733279205
2157,7.472459372,-10.549489867828566,-5.7870231479683385,-28.9703479315558,-23.49624258749019,12.932920087523492,-20.487865665918203
2158,-38.4571873,-48.793979666685715,-23.27678876900693,-20.7547024312456,-41.91023124961978,-38.686557366262825,-11.066180745144916
2159,-16.6665801,-21.33325161847095,3.4519777098495963,0.2123695563110095,-25.698502766618137,-14.893494929191865,-3.381581472639128
2160,,,-26.565095209557377,,,,
2162,-43.72165694,-52.49623851735205,-28.636358061242213,-38.67184937612023,-46.50766671245044,,-29.142832651967613
2163,,,-29.7121242748574,,,,
2164,-32.32438551,-43.06403180169647,-28.463151795170962,-32.048346143703256,-40.202588069945776,-30.00020188333405,-24.34506893943603
2165,-26.97909709,-33.27955965333273,-19.805841006029347,-32.18400690240464,-37.80128434481972,-24.43285820275257,-25.65799869517489
2166,-16.08265458,-33.862809978360644,-28.671821278377234,-30.49034695305993,-37.084861594051716,-15.32185993001658,-9.671133264339462
2167,-33.51533994,-44.08001836161732,-32.52742853654771,-40.961504080786646,-51.38551414620552,-26.926776611986288,-28.64120428060669
2169,-28.8563061,-40.159473895599476,-9.09082897047403,-14.28558982764353,-33.035589323591964,-30.87849445097257,-1.654280018027432
2170,-36.47374223,-53.43201321770338,-34.59351111383195,-46.522320084659356,-56.47792338801154,-33.24940349386484,-25.31635701956436
2171,-11.11792135,-7.431537136084076,0.14772801431990334,-6.094186917118572,-24.16108892542361,-3.997044734898637,-8.951102049532803
2172,-24.37813016,-40.54729588310838,-13.718408924429648,-20.465877140561307,-37.516351120645,-17.837897126951052,-3.33858056084737
2173,-10.68952008,-23.659455909255765,-10.397567321497457,-11.254046473800994,-19.483353115078174,-12.569773618146252,-0.9122898696911964
2174,-33.79180565,-37.200071079677954,-9.545415933150423,-10.76228448665182,-17.700497174845086,-24.92778638333779,-0.5686290143788741
