,bm
538,0.4315840329268391
539,3.1910914884052586
540,0.9669191155946736
541,0.7882329208781689
543,1.666513148310647
544,1.8275679083207583
545,0.6679305847137226
546,0.6934260272270608
547,0.5995034628174263
548,0.8022023610607754
550,1.5080244314320637
551,0.8420656584723154
552,1.3002885934104662
553,5.146102488195613
554,0.5023582848276958
555,0.5233543237146342
557,2.544423287627728
558,0.28074258145824915
559,0.371865251973012
560,1.1399599981624151
561,0.34800871739322
563,0.6622779657390647
564,6.718920036328584
565,0.4958309864224254
566,0.6965591612834163
567,2.263888192809333
568,0.12383015851267075
570,1.0938587125077657
571,1.0789217638970303
572,2.2175549243813437
573,0.9153540719660768
576,0.3626041636844503
581,1.179546943142855
582,4.396202829730072
584,0.5031641241629589
585,0.0189014626827986
586,0.12202693213477805
587,2.3637039453381616
589,1.105354798991049
590,0.22853355299534045
591,2.0229384636375203
592,0.622347976627646
593,0.4189935080049311
595,0.2337787815195488
596,0.1671233737843587
597,0.5609790643700246
598,0.811236097297745
599,1.2506536382092641
600,2.2240621510046488
601,0.7694477684218355
603,0.22873492925582398
605,1.3436007732281592
606,0.6998348399236062
607,0.5443803521330967
608,0.7430911004871756
609,1.1328997725852012
610,0.3930597822860882
611,0.6487670889818573
612,0.7814755646558438
613,0.05793553188074304
615,0.9340680737148817
616,1.3051844680453693
617,41.0615664027363
619,1.3294147133655394
620,1.1511848734874799
622,0.09906679900623858
623,1.1798028810875243
625,1.584510530298932
626,0.8616146362498169
627,0.8708612433475096
628,0.4842777668293667
629,0.5524472145623595
630,0.9211460604342352
631,0.9706406161380235
632,0.4130810588058595
633,0.09857957385301816
635,1.1649889061976932
636,0.5022711256913772
637,0.6014138717105896
638,0.12405327677448255
639,0.7820261661627143
650,0.4608120875435355
651,0.3124199269005189
652,1.0189184796778858
655,0.8007295639785126
656,1.0893887250666128
657,0.7516244558046522
659,0.1687024223291386
661,0.10681799524065873
662,1.266928632870585
663,0.6200720974401461
665,1.3132591221167038
666,6.0552114812568245
667,1.155990266840236
668,0.42015997349226464
669,1.0859617734857911
670,0.17864926473715695
671,1.7877300721638718
672,0.3747458173158087
673,0.3007454293474613
676,1.5284877565721269
677,0.2440246244107675
678,0.4001955105458041
679,0.7963053289070634
680,1.0096987965030988
681,0.39273321480294987
682,0.7668233523658213
683,1.415806583568349
685,1.279074353601617
686,0.8713213879247867
687,0.17712741260179266
688,0.19804307355862671
690,0.7471009867705845
691,0.09005241270057303
692,1.0266224392917702
695,0.2866820625840725
697,0.5365780765757449
698,1.4986684485498676
700,0.9066012703007584
701,2.324388813425021
