code,size,size_cpi,size_ff,size_ffcpi
423,10.031243284912174,10.289615306083617,10.031243284912174,10.289615306083617
425,9.287608407651332,9.545980428822775,9.287608407651332,9.545980428822775
426,7.5387066002282666,7.797078621399711,7.5387066002282666,7.797078621399711
428,8.493188088636826,8.751560109808272,8.493188088636826,8.751560109808272
429,7.659570938770287,7.917942959941733,7.659570938770287,7.917942959941733
430,6.4105451752412534,6.668917196412702,6.4105451752412534,6.668917196412702
488,8.562183855188513,8.820555876359961,8.562183855188513,8.820555876359961
501,8.901672416216858,9.160044437388304,8.901672416216858,9.160044437388304
502,7.182582457694055,7.440954478865501,7.182582457694055,7.440954478865501
503,8.467368882803722,8.725740903975169,8.467368882803722,8.725740903975169
504,8.003441500889279,8.261813522060729,8.003441500889279,8.261813522060729
505,7.345955156784992,7.604327177956438,7.345955156784992,7.604327177956438
506,6.99307189818072,7.251443919352165,6.99307189818072,7.251443919352165
507,7.887002466187463,8.145374487358907,7.887002466187463,8.145374487358907
509,7.05327295572744,7.311644976898887,7.05327295572744,7.311644976898887
510,8.352178038354952,8.6105500595264,8.352178038354952,8.6105500595264
511,8.354601727523201,8.612973748694646,8.354601727523201,8.612973748694646
513,8.785420508397419,9.043792529568863,8.785420508397419,9.043792529568863
514,8.673658290906898,8.932030312078341,8.673658290906898,8.932030312078341
516,7.7495814655994755,8.007953486770921,7.7495814655994755,8.007953486770921
517,6.660165975230081,6.918537996401527,6.660165975230081,6.918537996401527
518,8.366131926760982,8.624503947932428,8.366131926760982,8.624503947932428
519,7.699771127682736,7.958143148854178,7.699771127682736,7.958143148854178
520,7.943462896829809,8.201834918001254,7.943462896829809,8.201834918001254
521,7.7423185591314825,8.000690580302926,7.7423185591314825,8.000690580302926
522,8.602542978062225,8.860914999233671,8.602542978062225,8.860914999233671
523,6.766310924144479,7.0246829453159245,6.766310924144479,7.0246829453159245
524,7.837914469672646,8.096286490844092,7.837914469672646,8.096286490844092
525,8.246579918639284,8.50495193981073,8.246579918639284,8.50495193981073
526,6.925343917998313,7.183715939169757,6.925343917998313,7.183715939169757
527,10.479286657049792,10.73765867822124,10.479286657049792,10.73765867822124
528,9.391176128014669,9.649548149186117,9.391176128014669,9.649548149186117
529,7.197181893834539,7.4555539150059875,7.197181893834539,7.4555539150059875
530,7.106834488702414,7.36520650987386,7.106834488702414,7.36520650987386
531,8.061148768713121,8.319520789884567,8.061148768713121,8.319520789884567
